구순위,구코드,구명,행정동수,구_최종등급,구방향성,구종합점수,최빈등급_참고용,A,B,C,D,E,성장동비율,쇠퇴동비율
1,11260,중랑구,16,D,쇠퇴,0.3955998977635695,C,0,1,7,3,5,0.0625,0.5
2,11110,종로구,17,C,유지,0.3908483813696861,C,2,3,6,5,1,0.29411764705882354,0.35294117647058826
3,11290,성북구,20,D,쇠퇴,0.39081579650021725,D,3,0,7,8,2,0.15,0.5
4,11140,중구,15,D,쇠퇴,0.38438723455508406,D,1,1,3,8,2,0.13333333333333333,0.6666666666666666
5,11650,서초구,18,A,성장,0.3842167234658458,C,7,0,8,2,1,0.3888888888888889,0.16666666666666666
6,11170,용산구,16,C,유지,0.3800131256989849,C,4,0,6,2,4,0.25,0.375
7,11320,도봉구,14,D,쇠퇴,0.3788390252876825,C,0,1,5,5,3,0.07142857142857142,0.5714285714285714
8,11230,동대문구,14,A,성장,0.3739993681462821,C,2,2,6,2,2,0.2857142857142857,0.2857142857142857
9,11530,구로구,16,A,성장,0.3737679188227295,A,4,4,2,4,2,0.5,0.375
10,11200,성동구,17,D,쇠퇴,0.3728004144098269,D,2,1,2,6,6,0.17647058823529413,0.7058823529411765
11,11560,영등포구,18,B,성장,0.37101569973282555,A,5,2,2,5,4,0.3888888888888889,0.5
12,11590,동작구,15,C,유지,0.36878221156295987,C,0,4,6,3,2,0.26666666666666666,0.3333333333333333
13,11410,서대문구,14,C,유지,0.36798703551038103,C,3,0,7,4,0,0.21428571428571427,0.2857142857142857
14,11350,노원구,19,C,유지,0.3674715662532567,C,2,1,7,6,3,0.15789473684210525,0.47368421052631576
15,11545,금천구,10,B,성장,0.3629369707761615,C,0,2,4,1,3,0.2,0.4
16,11740,강동구,16,D,쇠퇴,0.36235631196872164,C,3,1,5,4,3,0.25,0.4375
17,11710,송파구,27,E,쇠퇴,0.3605196849476454,D,1,5,5,8,8,0.2222222222222222,0.5925925925925926
18,11680,강남구,21,C,유지,0.358327849872499,C,1,2,11,5,2,0.14285714285714285,0.3333333333333333
19,11215,광진구,15,E,쇠퇴,0.35494031483467514,E,2,0,4,1,8,0.13333333333333333,0.6
20,11380,은평구,16,C,유지,0.35044076282958436,C,2,3,5,2,4,0.3125,0.375
21,11470,양천구,18,E,쇠퇴,0.3494632554849209,E,1,2,4,4,7,0.16666666666666666,0.6111111111111112
22,11500,강서구,20,E,쇠퇴,0.34568664285096645,E,0,3,5,4,8,0.15,0.6
23,11440,마포구,16,E,쇠퇴,0.3455885301091018,E,0,1,5,2,8,0.0625,0.625
24,11305,강북구,13,E,쇠퇴,0.34289878089002424,C,0,2,4,3,4,0.15384615384615385,0.5384615384615384
25,11620,관악구,21,B,성장,0.3337769415218758,C,1,5,9,1,5,0.2857142857142857,0.2857142857142857
